Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Cachambi;1;0;0;35;600.0;274.0;22.0
Flamengo;1;0;0;27;1000.0;366.0;25.0
Catete;1;0;0;44;950.0;300.0;29.0
Campo Grande;1;1;0;41;600.0;195.0;274.0
Praça da Bandeira;1;0;0;36;1100.0;350.0;130.0
Ribeira;1;1;0;58;1100.0;565.0;500.0
Cachambi;1;0;0;36;600.0;407.0;297.5
Barra da Tijuca;1;1;0;42;1000.0;740.0;260.0
Engenho de Dentro;1;1;0;50;800.0;250.0;4088.5
Gardênia Azul;1;1;0;39;790.0;4650.0;1953.3333333333333
Grajaú;1;0;0;40;1000.0;460.0;25.0
Méier;1;1;0;55;800.0;400.0;17.0
Grajaú;1;1;0;58;1100.0;670.0;360.0
Vila Isabel;1;0;0;35;1100.0;455.0;291.6666666666667
Praça Seca;1;1;0;46;700.0;300.0;107.0
Jardim Guanabara;1;1;0;44;1100.0;230.0;48.0
Cachambi;1;1;0;64;900.0;600.0;458.0
Tijuca;1;0;0;40;900.0;640.0;21.0
Praça da Bandeira;1;0;0;30;900.0;310.0;284.33333333333337
Campo Grande;1;0;0;65;650.0;110.0;6792.75
Méier;1;1;0;87;1100.0;411.0;1950.0
Grajaú;1;1;0;50;1100.0;500.0;1800.0
Centro;1;0;0;40;1100.0;707.0;70.0
Catete;1;0;0;29;1100.0;320.0;25.0
São Cristóvão;1;0;0;55;900.0;450.0;1035.3333333333335
Centro;1;0;0;40;1050.0;340.0;155.5
Cascadura;1;0;0;54;760.0;80.0;161.0
Tijuca;1;0;0;45;1000.0;440.0;185.0
Ramos;1;0;0;58;900.0;624.3333333333333;32.42857142857143
Centro;1;0;0;34;1000.0;454.0;25.0
Vila Isabel;1;1;0;30;1100.0;620.0;307.5
Tijuca;1;0;0;40;1100.0;534.0;25.0
Anil;1;1;0;40;1100.0;320.0;13.0
Centro;1;0;0;35;1100.0;340.0;20.0
Vila da Penha;1;0;0;35;500.0;1192.5;483.6666666666667
Lins de Vasconcelos;1;1;0;44;800.0;435.0;14.0
Engenho Novo;1;0;0;45;800.0;460.0;168.5
Centro;1;0;0;25;850.0;223.0;24.0
Jardim Guanabara;1;1;0;30;1000.0;450.0;24.0
Freguesia (Jacarepaguá);1;1;0;55;900.0;690.0;40.0
Guadalupe;1;1;1;45;800.0;250.0;750.0
Centro;1;0;0;32;900.0;342.0;24.0
Copacabana;1;0;0;21;1100.0;405.0;228.5
Centro;1;0;0;25;1100.0;1641.5;629.0
Flamengo;1;0;0;23;800.0;480.0;29.0
Campo Grande;1;1;0;48;650.0;250.0;12.0
Centro;1;0;0;28;900.0;370.0;20.0
Centro;1;0;0;37;940.0;385.0;24.0
Freguesia (Jacarepaguá);1;1;0;45;1100.0;485.0;36.0
Tijuca;1;0;0;35;1000.0;300.0;50.0
Cascadura;1;0;0;45;650.0;250.0;475.5
Centro;1;0;0;34;850.0;410.0;24.0
Vila Isabel;1;1;1;52;1000.0;750.0;25.0
Andaraí;1;0;0;60;1100.0;150.0;20.0
Quintino Bocaiúva;1;0;0;40;700.0;66.0;160.25
Oswaldo Cruz;1;0;0;50;700.0;800.0;825.0
Campo Grande;1;0;0;50;600.0;640.0;236.66666666666669
Centro;1;0;0;38;900.0;355.0;21.0
Olaria;1;0;0;56;780.0;318.0;340.5
Rocha Miranda;1;0;0;32;1000.0;1410.0;478.6666666666667
Laranjeiras;1;0;0;25;900.0;450.0;30.0
